Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 7.7860E+00  1.1717E-02  1.2375E+00   4.0881E-02
 7.7977E+00  1.1413E-02  1.2336E+00   4.2207E-02
 7.8094E+00  1.1105E-02  1.2296E+00   4.3615E-02
 7.8212E+00  1.0796E-02  1.2256E+00   4.5105E-02
 7.8331E+00  1.0484E-02  1.2214E+00   4.6683E-02
 7.8449E+00  1.0170E-02  1.2171E+00   4.8356E-02
 7.8568E+00  9.8563E-03  1.2127E+00   5.0132E-02
 7.8688E+00  9.5419E-03  1.2081E+00   5.2021E-02
 7.8807E+00  9.2297E-03  1.2035E+00   5.4020E-02
 7.8927E+00  8.9173E-03  1.1987E+00   5.6162E-02
 7.9047E+00  8.6075E-03  1.1938E+00   5.8448E-02
 7.9168E+00  8.3014E-03  1.1888E+00   6.0891E-02
 7.9289E+00  8.0007E-03  1.1836E+00   6.3507E-02
 7.9410E+00  7.7071E-03  1.1782E+00   6.6310E-02
 7.9532E+00  7.4241E-03  1.1728E+00   6.9302E-02
 7.9654E+00  7.1512E-03  1.1672E+00   7.2535E-02
 7.9777E+00  6.8928E-03  1.1615E+00   7.6015E-02
 7.9900E+00  6.6522E-03  1.1556E+00   7.9765E-02
 8.0023E+00  6.4334E-03  1.1496E+00   8.3812E-02
 8.0147E+00  6.2408E-03  1.1435E+00   8.8182E-02
 8.0271E+00  6.0797E-03  1.1372E+00   9.2908E-02
 8.0395E+00  5.9566E-03  1.1310E+00   9.7993E-02
 8.0520E+00  5.8770E-03  1.1246E+00   1.0352E-01
 8.0645E+00  5.8493E-03  1.1182E+00   1.0951E-01
 8.0771E+00  5.8820E-03  1.1118E+00   1.1599E-01
 8.0897E+00  5.9844E-03  1.1055E+00   1.2298E-01
 8.1023E+00  6.1660E-03  1.0993E+00   1.3053E-01
 8.1150E+00  6.4352E-03  1.0934E+00   1.3860E-01
 8.1277E+00  6.8040E-03  1.0877E+00   1.4728E-01
 8.1405E+00  7.2794E-03  1.0824E+00   1.5653E-01
 8.1533E+00  7.8672E-03  1.0777E+00   1.6631E-01
 8.1661E+00  8.5690E-03  1.0735E+00   1.7656E-01
 8.1790E+00  9.3812E-03  1.0701E+00   1.8716E-01
