From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 3.0113E+00  1.0040E-01  1.7751E+00   4.3745E-01
 3.0131E+00  1.0045E-01  1.7753E+00   4.3775E-01
 3.0148E+00  1.0051E-01  1.7755E+00   4.3804E-01
 3.0166E+00  1.0057E-01  1.7758E+00   4.3833E-01
 3.0183E+00  1.0063E-01  1.7760E+00   4.3863E-01
 3.0201E+00  1.0069E-01  1.7762E+00   4.3892E-01
 3.0218E+00  1.0075E-01  1.7765E+00   4.3921E-01
 3.0236E+00  1.0080E-01  1.7767E+00   4.3950E-01
 3.0254E+00  1.0086E-01  1.7769E+00   4.3979E-01
 3.0271E+00  1.0092E-01  1.7771E+00   4.4008E-01
 3.0289E+00  1.0098E-01  1.7774E+00   4.4037E-01
 3.0307E+00  1.0103E-01  1.7776E+00   4.4066E-01
 3.0324E+00  1.0109E-01  1.7778E+00   4.4095E-01
 3.0342E+00  1.0115E-01  1.7780E+00   4.4124E-01
 3.0360E+00  1.0120E-01  1.7782E+00   4.4153E-01
 3.0378E+00  1.0126E-01  1.7785E+00   4.4182E-01
 3.0396E+00  1.0132E-01  1.7787E+00   4.4211E-01
 3.0413E+00  1.0137E-01  1.7789E+00   4.4239E-01
 3.0431E+00  1.0143E-01  1.7791E+00   4.4268E-01
 3.0449E+00  1.0148E-01  1.7793E+00   4.4297E-01
 3.0467E+00  1.0154E-01  1.7795E+00   4.4326E-01
 3.0485E+00  1.0160E-01  1.7798E+00   4.4355E-01
 3.0503E+00  1.0165E-01  1.7800E+00   4.4384E-01
 3.0521E+00  1.0171E-01  1.7802E+00   4.4413E-01
 3.0539E+00  1.0176E-01  1.7804E+00   4.4442E-01
 3.0557E+00  1.0182E-01  1.7806E+00   4.4470E-01
 3.0575E+00  1.0187E-01  1.7808E+00   4.4499E-01
 3.0593E+00  1.0193E-01  1.7810E+00   4.4528E-01
 3.0611E+00  1.0198E-01  1.7812E+00   4.4557E-01
 3.0629E+00  1.0204E-01  1.7814E+00   4.4586E-01
 3.0647E+00  1.0209E-01  1.7816E+00   4.4615E-01
 3.0665E+00  1.0215E-01  1.7818E+00   4.4644E-01
 3.0683E+00  1.0220E-01  1.7820E+00   4.4673E-01
 3.0701E+00  1.0226E-01  1.7822E+00   4.4702E-01
 3.0720E+00  1.0231E-01  1.7824E+00   4.4731E-01
 3.0738E+00  1.0236E-01  1.7826E+00   4.4760E-01
 3.0756E+00  1.0242E-01  1.7828E+00   4.4789E-01
 3.0774E+00  1.0247E-01  1.7830E+00   4.4818E-01
 3.0793E+00  1.0253E-01  1.7832E+00   4.4847E-01
 3.0811E+00  1.0258E-01  1.7834E+00   4.4877E-01
 3.0829E+00  1.0263E-01  1.7836E+00   4.4906E-01
 3.0848E+00  1.0269E-01  1.7838E+00   4.4935E-01
 3.0866E+00  1.0274E-01  1.7840E+00   4.4964E-01
 3.0884E+00  1.0280E-01  1.7842E+00   4.4994E-01
 3.0903E+00  1.0285E-01  1.7844E+00   4.5023E-01
 3.0921E+00  1.0290E-01  1.7846E+00   4.5053E-01
